"WorkerID","Visualization","StartCond","CompletionTime","StimID","Ratio","Staircase","ResponseTime","Response","Correct","Confidence","SimulatedConfidence","ExpectedConfidence"
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,345450,-9.1911,3,9768,"increase",TRUE,77,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,379053,-8.3919,3,5172,"increase",TRUE,100,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,715050,4.0003,1,5485,"steady",TRUE,85,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,357662,-8.5297,3,91803,"increase",TRUE,96,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,724078,4.0003,2,8761,"steady",TRUE,70,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,778374,4.0003,2,4239,"steady",TRUE,77,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,81112,-4.0003,2,4149,"increase",TRUE,81,64.703,64.5258
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,52005,-2.3539,2,9287,"steady",FALSE,65,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,73759,-4.0003,1,4564,"increase",TRUE,70,64.703,64.5258
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,180210,4.0003,1,3511,"steady",TRUE,84,64.703,64.5258
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,734958,1.7822,1,4462,"steady",TRUE,85,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,792229,5.3537,2,55282,"steady",TRUE,94,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,395436,1.7822,1,7358,"steady",TRUE,71,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,75088,-5.3537,2,3091,"increase",TRUE,91,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,62279,-5.3537,2,3853,"increase",TRUE,81,3.825,3.825
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,35525,-1.7822,1,3731,"steady",FALSE,84,3.825,3.825
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,369312,-3.7073,2,5515,"steady",FALSE,73,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,399457,-6.7077,2,3564,"increase",TRUE,89,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,785098,9.1079,3,4354,"steady",TRUE,88,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,46045,-6.7086,2,3378,"increase",TRUE,97,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,777206,4.7821,1,111908,"increase",FALSE,76,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,789568,8.4438,3,4416,"steady",TRUE,89,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,99000,-7.7798,1,5490,"steady",FALSE,85,64.703,64.6331
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,9080,-6.7086,2,5473,"increase",TRUE,67,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,317677,-9.6968,1,3284,"increase",TRUE,84,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,135117,9.3064,1,4356,"steady",TRUE,75,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,357142,-8.6799,3,64512,"increase",TRUE,91,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,739028,5.0621,2,34558,"steady",TRUE,83,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,757977,5.0621,2,10626,"steady",TRUE,80,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,758475,5.0621,2,38651,"steady",TRUE,64,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,731412,9.126,1,3823,"steady",TRUE,64,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,358117,-3.4156,2,36482,"increase",TRUE,82,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,384833,-3.4156,2,42798,"increase",TRUE,81,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,798077,6.9071,1,29595,"steady",TRUE,77,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,184422,6.9064,1,3649,"steady",TRUE,86,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,318522,-9.2125,3,174329,"increase",TRUE,86,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,759730,8.6589,3,303225,"steady",TRUE,87,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,344696,-3.4156,2,3533,"increase",TRUE,91,64.703,64.703
"d29885953a5e5329d66fb537880a5fc1","c","c",1354020,70729,-1.7692,2,5866,"steady",FALSE,77,64.703,64.703
